"Date","Price","Open","High","Low","Vol.","Change %"
"12-07-2020","148.10","162.55","167.21","145.91","637.94M","-7.44%"
"05-07-2020","160.00","146.75","160.75","146.50","581.01M","10.72%"
"28-06-2020","144.51","134.50","147.78","131.50","419.00M","7.33%"
"21-06-2020","134.64","134.23","139.80","133.45","428.73M","0.67%"
"14-06-2020","133.75","126.33","134.87","125.40","373.86M","5.11%"
"07-06-2020","127.25","125.01","136.12","124.37","506.58M","2.50%"
"31-05-2020","124.15","122.40","125.38","121.86","287.88M","1.66%"
"24-05-2020","122.12","122.90","123.10","116.50","306.95M","0.23%"
"17-05-2020","121.84","120.22","126.27","119.20","413.33M","1.12%"
"10-05-2020","120.49","118.74","120.98","116.89","380.00M","1.27%"
"03-05-2020","118.98","112.82","119.36","112.82","356.68M","4.09%"
"26-04-2020","114.30","122.16","123.75","112.91","696.28M","-5.15%"
"19-04-2020","120.51","119.50","122.25","113.98","527.28M","1.48%"
"12-04-2020","118.75","102.00","123.05","101.90","832.77M","16.26%"